1,-3.187800,55.944400,340,-3.187903,55.944682,hurt.green.filer
2,-3.187903,55.944682,210,-3.188053,55.944422,null
3,-3.188053,55.944422,210,-3.188203,55.944162,rush.crown.link
4,-3.188203,55.944162,160,-3.188100,55.943880,null
5,-3.188100,55.943880,160,-3.187997,55.943598,scare.cubs.resort
6,-3.187997,55.943598,90,-3.187697,55.943598,null
7,-3.187697,55.943598,90,-3.187397,55.943598,shut.stands.media
8,-3.187397,55.943598,140,-3.187205,55.943369,scale.chair.kinds
9,-3.187205,55.943369,220,-3.187397,55.943139,null
10,-3.187397,55.943139,220,-3.187590,55.942909,panic.squad.danger
11,-3.187590,55.942909,310,-3.187820,55.943102,null
12,-3.187820,55.943102,310,-3.188050,55.943295,null
13,-3.188050,55.943295,310,-3.188280,55.943488,null
14,-3.188280,55.943488,300,-3.188539,55.943638,null
15,-3.188539,55.943638,310,-3.188769,55.943830,null
16,-3.188769,55.943830,300,-3.189029,55.943980,noted.friday.jams
17,-3.189029,55.943980,330,-3.189179,55.944240,spoon.invest.every
18,-3.189179,55.944240,230,-3.189409,55.944047,null
19,-3.189409,55.944047,220,-3.189602,55.943818,burn.spot.across
20,-3.189602,55.943818,320,-3.189795,55.944047,cliff.asleep.wedge
21,-3.189795,55.944047,240,-3.190054,55.943897,null
22,-3.190054,55.943897,230,-3.190284,55.943705,sculpture.shot.melon
23,-3.190284,55.943705,160,-3.190182,55.943423,arts.dish.scarcely
24,-3.190182,55.943423,240,-3.190441,55.943273,null
25,-3.190441,55.943273,240,-3.190701,55.943123,relate.chill.vest
26,-3.190701,55.943123,260,-3.190997,55.943071,else.urban.museum
27,-3.190997,55.943071,330,-3.191147,55.943330,meal.feed.large
28,-3.191147,55.943330,50,-3.190917,55.943523,null
29,-3.190917,55.943523,50,-3.190687,55.943716,null
30,-3.190687,55.943716,50,-3.190457,55.943909,null
31,-3.190457,55.943909,50,-3.190227,55.944102,null
32,-3.190227,55.944102,60,-3.189968,55.944252,null
33,-3.189968,55.944252,50,-3.189738,55.944445,null
34,-3.189738,55.944445,60,-3.189478,55.944595,null
35,-3.189478,55.944595,50,-3.189248,55.944787,null
36,-3.189248,55.944787,60,-3.188988,55.944937,null
37,-3.188988,55.944937,50,-3.188759,55.945130,rooms.lamp.teach
38,-3.188759,55.945130,350,-3.188811,55.945426,shady.soft.phones
39,-3.188811,55.945426,80,-3.188515,55.945478,null
40,-3.188515,55.945478,80,-3.188220,55.945530,skills.less.herb
41,-3.188220,55.945530,60,-3.187960,55.945680,null
42,-3.187960,55.945680,60,-3.187700,55.945830,null
43,-3.187700,55.945830,70,-3.187418,55.945932,slips.mass.baking
44,-3.187418,55.945932,130,-3.187188,55.945740,null
45,-3.187188,55.945740,140,-3.186996,55.945510,spent.spoon.bolt
46,-3.186996,55.945510,60,-3.186736,55.945660,hidden.handle.softly
47,-3.186736,55.945660,160,-3.186633,55.945378,null
48,-3.186633,55.945378,160,-3.186531,55.945096,null
49,-3.186531,55.945096,160,-3.186428,55.944814,rated.fired.crowds
50,-3.186428,55.944814,240,-3.186688,55.944664,artist.gets.react
51,-3.186688,55.944664,100,-3.186392,55.944612,null
52,-3.186392,55.944612,130,-3.186163,55.944419,null
53,-3.186163,55.944419,120,-3.185903,55.944269,null
54,-3.185903,55.944269,130,-3.185673,55.944076,manliness.poem.cliff
55,-3.185673,55.944076,130,-3.185443,55.943883,null
56,-3.185443,55.943883,120,-3.185183,55.943733,hello.love.keys
57,-3.185183,55.943733,150,-3.185033,55.943474,null
58,-3.185033,55.943474,140,-3.184840,55.943244,brings.remedy.latter
59,-3.184840,55.943244,240,-3.185100,55.943094,null
60,-3.185100,55.943094,250,-3.185382,55.942991,null
61,-3.185382,55.942991,240,-3.185642,55.942841,dent.shins.cycle
62,-3.185642,55.942841,10,-3.185590,55.943137,toned.deflection.bland
63,-3.185590,55.943137,330,-3.185740,55.943396,record.sofa.sock
64,-3.185740,55.943396,20,-3.185637,55.943678,null
65,-3.185637,55.943678,20,-3.185535,55.943960,null
66,-3.185535,55.943960,30,-3.185385,55.944220,null
67,-3.185385,55.944220,20,-3.185282,55.944502,acid.chair.butter
68,-3.185282,55.944502,60,-3.185022,55.944652,null
69,-3.185022,55.944652,60,-3.184762,55.944802,null
70,-3.184762,55.944802,60,-3.184503,55.944952,sports.topic.clocks
71,-3.184503,55.944952,330,-3.184653,55.945212,null
72,-3.184653,55.945212,330,-3.184803,55.945472,null
73,-3.184803,55.945472,330,-3.184953,55.945731,rider.aura.bulb
74,-3.184953,55.945731,320,-3.185145,55.945961,null
75,-3.185145,55.945961,310,-3.185375,55.946154,prime.rent.silk
76,-3.185375,55.946154,230,-3.185605,55.945961,null
77,-3.185605,55.945961,230,-3.185835,55.945768,null
78,-3.185835,55.945768,240,-3.186095,55.945618,null
79,-3.186095,55.945618,230,-3.186325,55.945426,null
80,-3.186325,55.945426,240,-3.186584,55.945276,null
81,-3.186584,55.945276,270,-3.186884,55.945276,null
82,-3.186884,55.945276,140,-3.186691,55.945046,null
83,-3.186691,55.945046,140,-3.186499,55.944816,null
84,-3.186499,55.944816,250,-3.186781,55.944713,null
85,-3.186781,55.944713,250,-3.187062,55.944611,null
86,-3.187062,55.944611,250,-3.187344,55.944508,null
87,-3.187344,55.944508,260,-3.187640,55.944456,null
